Post code,Arrondissement name (Dutch),Arrondissement name (French)
5571,,Dinant
5080,,Namur
5543,,Dinant
3581,Hasselt,
3583,Hasselt,
3590,Hasselt,
3640,Maaseik,
3717,Tongeren,Tongres
3891,Hasselt,
3980,Hasselt,
8553,Kortrijk,Courtrai
6870,,Neufchâteau
7504,Doornik en Moeskroen,Tournai et Mouscron
7822,Aat,Ath
1401,,Nivelles
1460,,Nivelles
2640,Antwerpen,
2382,Turnhout,
2310,Turnhout,
2547,Antwerpen,
2845,Antwerpen,
2060,Antwerpen,
2627,Antwerpen,
2381,Turnhout,
2150,Antwerpen,
2387,Turnhout,
3472,Leuven,
3272,Leuven,
3212,Leuven,
1640,Halle-Vilvoorde,Hal-Vilvorde
3450,Leuven,
1540,Halle-Vilvoorde,Hal-Vilvorde
9473,Aalst,
9112,Sint-Niklaas,
9031,Gent,
9308,Aalst,
4730,,Verviers
4632,,Liège
4351,,Waremme
4480,,Huy
4910,,Verviers
7510,Doornik en Moeskroen,Tournai et Mouscron
7020,,Mons
6534,,Thuin
7860,Aat,Ath
7330,,Mons
7864,Aat,Ath
7100,,La Louvière
6531,,Thuin
3722,Tongeren,Tongres
8550,Kortrijk,Courtrai
8691,Veurne,
8700,Tielt,
8760,Tielt,
6840,,Neufchâteau
6983,,Marche-en-Famenne
6987,,Marche-en-Famenne
3120,Leuven,
1541,Halle-Vilvoorde,Hal-Vilvorde
3270,Leuven,
5351,,Namur
5540,,Dinant
5550,,Dinant
3582,Hasselt,
3850,Hasselt,
8480,Oostende,
8570,Kortrijk,Courtrai
8830,Roeselare,
8978,Ieper,Ypres
3300,Leuven,
3401,Leuven,
3210,Leuven,
1501,Halle-Vilvoorde,Hal-Vilvorde
1950,Halle-Vilvoorde,Hal-Vilvorde
9771,Oudenaarde,Audenarde
9190,Sint-Niklaas,
9051,Gent,
9700,Oudenaarde,Audenarde
9770,Oudenaarde,Audenarde
4181,,Huy
4342,,Liège
4161,,Huy
4650,,Verviers
4257,,Waremme
6210,,Charleroi
7802,Aat,Ath
6200,,Charleroi
7000,,Mons
7021,,Mons
1033,Brussel-Hoofdstad,Bruxelles-Capitale
1006,Brussel-Hoofdstad,Bruxelles-Capitale
1043,Brussel-Hoofdstad,Bruxelles-Capitale
1060,Brussel-Hoofdstad,Bruxelles-Capitale
1300,,Nivelles
2170,Antwerpen,
2630,Antwerpen,
7711,Doornik en Moeskroen,Tournai et Mouscron
6210,,Charleroi
7190,Zinnik,Soignies
1120,Brussel-Hoofdstad,Bruxelles-Capitale
1150,Brussel-Hoofdstad,Bruxelles-Capitale
1320,,Nivelles
1331,,Nivelles
1348,,Nivelles
1404,,Nivelles
2520,Antwerpen,
2490,Turnhout,
2530,Antwerpen,
2270,Turnhout,
5621,,Philippeville
5640,,Namur
5537,,Dinant
5020,,Namur
5377,,Dinant
5081,,Namur
3501,Hasselt,
3620,Tongeren,Tongres
3950,Maaseik,
8850,Tielt,
6821,,Virton
6834,,Neufchâteau
6852,,Neufchâteau
6853,,Neufchâteau
6997,,Marche-en-Famenne
1654,Halle-Vilvoorde,Hal-Vilvorde
3118,Leuven,
1653,Halle-Vilvoorde,Hal-Vilvorde
9270,Dendermonde,
9290,Dendermonde,
9681,Oudenaarde,Audenarde
4761,,Verviers
4140,,Liège
4877,,Verviers
4670,,Liège
4750,,Verviers
4780,,Verviers
4051,,Liège
4652,,Verviers
7740,Doornik en Moeskroen,Tournai et Mouscron
6221,,Charleroi
7942,Aat,Ath
7332,,Mons
7010,,Mons
6500,,Thuin
6250,,Charleroi
7624,Doornik en Moeskroen,Tournai et Mouscron
7611,Doornik en Moeskroen,Tournai et Mouscron
7130,,La Louvière
6560,,Thuin
5560,,Dinant
5363,,Dinant
5600,,Philippeville
5641,,Namur
5501,,Dinant
5651,,Philippeville
5030,,Namur
5150,,Namur
3660,Maaseik,
8610,Diksmuide,
8755,Tielt,
6630,,Arlon
6660,,Bastogne
6781,,Arlon
6813,,Virton
6920,,Neufchâteau
1820,Halle-Vilvoorde,Hal-Vilvorde
1502,Halle-Vilvoorde,Hal-Vilvorde
3370,Leuven,
1852,Halle-Vilvoorde,Hal-Vilvorde
1700,Halle-Vilvoorde,Hal-Vilvorde
9860,Gent,
9790,Oudenaarde,Audenarde
9570,Oudenaarde,Audenarde
4458,,Liège
4031,,Liège
4650,,Verviers
4560,,Huy
4770,,Verviers
6110,,Charleroi
7034,,Mons
6532,,Thuin
6530,,Thuin
7604,Doornik en Moeskroen,Tournai et Mouscron
7500,Doornik en Moeskroen,Tournai et Mouscron
7333,,Mons
7803,Aat,Ath
6594,,Thuin
7910,Aat,Ath
6120,,Thuin
7506,Doornik en Moeskroen,Tournai et Mouscron
7783,Doornik en Moeskroen,Tournai et Mouscron
1200,Brussel-Hoofdstad,Bruxelles-Capitale
1049,Brussel-Hoofdstad,Bruxelles-Capitale
1370,,Nivelles
2590,Mechelen,
2431,Turnhout,
2801,Mechelen,
9570,Oudenaarde,Audenarde
9830,Gent,
9300,Aalst,
9340,Aalst,
9600,Oudenaarde,Audenarde
9981,Eeklo,
9850,Gent,
9500,Aalst,
9170,Sint-Niklaas,
4624,,Liège
4577,,Huy
4260,,Waremme
4821,,Verviers
4500,,Huy
4782,,Verviers
4671,,Liège
4000,,Liège
4260,,Waremme
4672,,Liège
4451,,Liège
4621,,Liège
7823,Aat,Ath
7191,Zinnik,Soignies
6462,,Thuin
7623,Doornik en Moeskroen,Tournai et Mouscron
6075,,Charleroi
6020,,Charleroi
7601,Doornik en Moeskroen,Tournai et Mouscron
7061,Zinnik,Soignies
1020,Brussel-Hoofdstad,Bruxelles-Capitale
1090,Brussel-Hoofdstad,Bruxelles-Capitale
1301,,Nivelles
1330,,Nivelles
2610,Antwerpen,
8301,Brugge,
8310,Brugge,
8421,Oostende,
8647,Diksmuide,
8660,Veurne,
8800,Roeselare,
8820,Brugge,
8957,Ieper,Ypres
6686,,Bastogne
6698,,Bastogne
6742,,Virton
6836,,Neufchâteau
6850,,Neufchâteau
6921,,Neufchâteau
1931,Halle-Vilvoorde,Hal-Vilvorde
3130,Leuven,
3012,Leuven,
3271,Leuven,
3724,Tongeren,Tongres
3746,Tongeren,Tongres
5024,,Namur
5170,,Namur
5590,,Dinant
6769,,Virton
6044,,Charleroi
6030,,Charleroi
1780,Halle-Vilvoorde,Hal-Vilvorde
9402,Aalst,
9920,Gent,
9185,Gent,
9030,Gent,
9140,Sint-Niklaas,
4141,,Liège
4570,,Huy
6464,,Thuin
7861,Aat,Ath
7131,,La Louvière
7134,,La Louvière
6181,,Charleroi
7382,,Mons
7301,,Mons
6230,,Charleroi
1130,Brussel-Hoofdstad,Bruxelles-Capitale
1410,,Nivelles
1474,,Nivelles
2350,Turnhout,
2870,Mechelen,
2360,Turnhout,
5364,,Dinant
5001,,Namur
5000,,Namur
